Response ID,Status,Department,Director,Manager,Supervisor,Staff,Question,Response
49,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,2
50,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,3
51,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
52,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,2
53,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,5
54,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,2
55,Complete,Emergency Management,0,1,0,0,1. I know what is expected of me at work,1
56,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3
57,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,1
58,Complete,Sheriff's Department,0,0,0,1,1. I know what is expected of me at work,1
59,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,1
60,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4
61,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,3
62,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,3
63,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,1
64,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4
65,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,5
66,Complete,District Court,0,0,0,1,1. I know what is expected of me at work,3
67,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,1
68,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,1
69,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,5
70,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,1
71,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,1
72,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,2
73,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,1
74,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,4
75,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4
76,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,5
77,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
78,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
79,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,1
80,Complete,Council's Office,0,1,0,0,1. I know what is expected of me at work,4
81,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,5
82,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
83,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,2
84,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,1
85,Complete,Council's Office,0,0,0,0,1. I know what is expected of me at work,5
86,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,3
87,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3
88,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,5
89,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,1
90,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,5
91,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,1
92,Complete,Finance and Performance Management,0,0,1,0,1. I know what is expected of me at work,5
93,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,3
94,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3
95,Complete,Human Services,0,0,1,0,1. I know what is expected of me at work,4
96,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
97,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,5
98,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,2
99,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,1
100,Complete,Council's Office,0,0,0,1,1. I know what is expected of me at work,5
101,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4
102,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,5
103,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,2
104,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,5
105,Complete,Clerk of Superior Court,0,0,0,0,1. I know what is expected of me at work,4
106,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4
107,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,5
108,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,5
109,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
110,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
111,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,2
112,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,3
113,Complete,Council's Office,0,0,0,0,1. I know what is expected of me at work,5
114,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,5
115,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,5
116,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
117,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,2
118,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,3
119,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,1
120,Complete,Clerk of Superior Court,0,1,0,0,1. I know what is expected of me at work,4
121,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,2
122,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,1
123,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,1
124,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4
125,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4
126,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,4
127,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,5
128,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4
129,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
130,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3
131,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3
132,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,1
133,Complete,Superior Court,0,0,1,0,1. I know what is expected of me at work,4
134,Incomplete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,2
135,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
136,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4
137,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4
138,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
139,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,4
140,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4
141,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3
142,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
143,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,3
144,Complete,Superior Court,0,0,1,0,1. I know what is expected of me at work,4
145,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4
146,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4
147,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4
148,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4
149,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
150,Complete,Communications Office,0,1,0,0,1. I know what is expected of me at work,4
151,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
152,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
153,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4
154,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
155,Complete,Clerk of Superior Court,0,1,0,0,1. I know what is expected of me at work,4
156,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
157,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,4
158,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3
159,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3
160,Complete,Prosecuting Attorney's Office,0,1,0,0,1. I know what is expected of me at work,4
161,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4
162,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
163,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
164,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3
165,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,4
166,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,3
167,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
168,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
169,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3
170,Complete,Prosecuting Attorney's Office,0,0,0,1,1. I know what is expected of me at work,4
171,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
172,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,4
173,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,4
174,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
175,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3
176,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4
177,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4
178,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
179,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4
180,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
181,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4
182,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
183,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
184,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3
185,Complete,Exec Office & Directors,1,0,0,0,1. I know what is expected of me at work,4
186,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
187,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,3
188,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
189,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,4
190,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
191,Complete,District Court,0,0,1,0,1. I know what is expected of me at work,3
192,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4
193,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3
194,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,3
195,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4
196,Complete,Assessor-Treasurer's Office,0,0,0,1,1. I know what is expected of me at work,2
197,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4
198,Complete,Council's Office,0,0,0,0,1. I know what is expected of me at work,4
199,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
200,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,4
201,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
202,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,3
203,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
204,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4
205,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,3
206,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,2
207,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
208,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
209,Complete,Council's Office,0,1,0,0,1. I know what is expected of me at work,4
210,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
211,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4
212,Complete,Assigned Council,0,0,0,1,1. I know what is expected of me at work,3
213,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,3
214,Complete,Exec Office & Directors,1,0,0,0,1. I know what is expected of me at work,4
215,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
216,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3
217,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,2
218,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,3
219,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,3
220,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,2
221,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4
222,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3
223,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4
224,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4
225,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
226,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3
227,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
228,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3
229,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3
230,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,4
231,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3
232,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4
233,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,3
234,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,3
235,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
236,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3
237,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4
238,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4
239,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3
240,Complete,Clerk of Superior Court,0,0,0,0,1. I know what is expected of me at work,4
241,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,2
242,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,4
243,Complete,Communications Office,0,0,0,0,1. I know what is expected of me at work,3
244,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
245,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4
246,Complete,Human Resources,0,1,0,0,1. I know what is expected of me at work,4
247,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4
248,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4
249,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,4
250,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,4
251,Complete,Human Services,0,0,1,0,1. I know what is expected of me at work,4
252,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4
253,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3
254,Complete,Juvenile Court,0,0,1,0,1. I know what is expected of me at work,3
255,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3
256,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
257,Complete,Assessor-Treasurer's Office,0,0,0,1,1. I know what is expected of me at work,4
258,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,3
259,Complete,Council's Office,0,0,0,0,1. I know what is expected of me at work,4
260,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3
261,Complete,Facilities Management,0,0,0,1,1. I know what is expected of me at work,3
262,Complete,Clerk of Superior Court,0,0,1,0,1. I know what is expected of me at work,4
263,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4
264,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4
265,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
266,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3
267,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
268,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3
269,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
270,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3
271,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,4
272,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,4
273,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,3
274,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
275,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
276,Complete,Sheriff's Department,0,1,0,0,1. I know what is expected of me at work,4
277,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4
278,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
279,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3
280,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,4
281,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,4
282,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,3
283,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
284,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,3
285,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,3
286,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
287,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
288,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4
289,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
290,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4
291,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4
292,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3
293,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,4
294,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4
295,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
296,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4
297,Complete,Exec Office & Directors,1,0,0,0,1. I know what is expected of me at work,3
298,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,2
299,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,4
300,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,4
301,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4
302,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
303,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,2
304,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
305,Complete,Finance and Performance Management,0,0,1,0,1. I know what is expected of me at work,4
306,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
307,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
308,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
309,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4
310,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
311,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,5
312,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
313,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
314,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,3
315,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4
316,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4
317,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
318,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
319,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3
320,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
321,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,2
322,Complete,Juvenile Court,0,0,0,1,1. I know what is expected of me at work,3
323,Complete,Human Services,0,0,1,0,1. I know what is expected of me at work,4
324,Complete,District Court,0,0,0,1,1. I know what is expected of me at work,4
325,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
326,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,1
327,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,4
328,Complete,District Court,0,0,1,0,1. I know what is expected of me at work,2
329,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,4
330,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,4
331,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
332,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,4
333,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,4
334,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4
335,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
336,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,3
337,Complete,Finance and Performance Management,0,1,0,0,1. I know what is expected of me at work,3
338,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
339,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,3
340,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4
341,Incomplete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,1
342,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
343,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,3
344,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
345,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4
346,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,3
347,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,1
348,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4
349,Complete,Communications Office,0,0,0,0,1. I know what is expected of me at work,3
350,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,4
351,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
352,Complete,Juvenile Court,0,1,0,0,1. I know what is expected of me at work,3
353,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4
354,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4
355,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3
356,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,2
357,Complete,Juvenile Court,0,1,0,0,1. I know what is expected of me at work,4
358,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
359,Complete,Finance and Performance Management,0,0,1,0,1. I know what is expected of me at work,4
360,Complete,Finance and Performance Management,0,0,1,0,1. I know what is expected of me at work,4
361,Complete,Finance and Performance Management,0,0,1,0,1. I know what is expected of me at work,4
362,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4
363,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3
364,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4
365,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,4
366,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3
367,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,4
368,Complete,Finance and Performance Management,0,0,1,0,1. I know what is expected of me at work,4
369,Complete,Prosecuting Attorney's Office,0,1,0,0,1. I know what is expected of me at work,4
